AÑO,AREA,NIVEL,GENERO,ENTIDAD,REGION,N
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Aguascalientes,Centronorte,1
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Baja California,Noroeste,21
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Baja California Sur,Noroeste,18
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Campeche,Sureste,10
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Chiapas,Suroeste,13
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Chihuahua,Noroeste,8
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Ciudad de México,Centrosur,293
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Coahuila,Noreste,9
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Colima,Occidente,12
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Durango,Noroeste,2
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Guanajuato,Centronorte,38
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Guerrero,Suroeste,2
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Hidalgo,Oriente,15
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Jalisco,Occidente,53
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Michoacán,Occidente,37
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Morelos,Centrosur,82
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,México,Centrosur,60
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Nayarit,Occidente,4
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Nuevo León,Noreste,36
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Oaxaca,Suroeste,18
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Puebla,Oriente,29
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Querétaro,Centronorte,19
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Quintana Roo,Sureste,15
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,San Luis Potosí,Centronorte,22
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Sin dato / Extranjero,Sin dato / Extranjero,93
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Sinaloa,Noroeste,13
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Sonora,Noroeste,11
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Tabasco,Sureste,8
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Tamaulipas,Noreste,3
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Tlaxcala,Oriente,13
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Veracruz,Oriente,66
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Yucatán,Sureste,40
2015,BIOLOGÍA Y QUÍMICA,1,HOMBRE,Zacatecas,Centronorte,4
2015,BIOLOGÍA Y QUÍMICA,1,MUJER,Aguascalientes,Centronorte,3
2015,BIOLOGÍA Y QUÍMICA,1,MUJER,Baja California,Noroeste,22
2015,BIOLOGÍA Y QUÍMICA,1,MUJER,Baja California Sur,Noroeste,14
2015,BIOLOGÍA Y QUÍMICA,1,MUJER,Campeche,Sureste,4
2015,BIOLOGÍA Y QUÍMICA,1,MUJER,Chiapas,Suroeste,7
2015,BIOLOGÍA Y QUÍMICA,1,MUJER,Chihuahua,Noroeste,8
2015,BIOLOGÍA Y QUÍMICA,1,MUJER,Ciudad de México,Centrosur,370
2015,BIOLOGÍA Y QUÍMICA,1,MUJER,Coahuila,Noreste,5
2015,BIOLOGÍA Y QUÍMICA,1,MUJER,Colima,Occidente,9
2015,BIOLOGÍA Y QUÍMICA,1,MUJER,Durango,Noroeste,8
2015,BIOLOGÍA Y QUÍMICA,1,MUJER,Guanajuato,Centronorte,24
2015,BIOLOGÍA Y QUÍMICA,1,MUJER,Guerrero,Suroeste,3
2015,BIOLOGÍA Y QUÍMICA,1,MUJER,Hidalgo,Oriente,20
2015,BIOLOGÍA Y QUÍMICA,1,MUJER,Jalisco,Occidente,47
2015,BIOLOGÍA Y QUÍMICA,1,MUJER,Michoacán,Occidente,17
