AÑO,AREA,NIVEL,HOMBRE,MUJER
2015,BIOLOGÍA Y QUÍMICA,1,1068,1004
2015,BIOLOGÍA Y QUÍMICA,2,390,255
2015,BIOLOGÍA Y QUÍMICA,3,231,119
2015,BIOLOGÍA Y QUÍMICA,C,432,489
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,891,593
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,2,258,132
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,3,124,38
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,C,288,289
2015,CIENCIAS SOCIALES,1,1188,898
2015,CIENCIAS SOCIALES,2,331,256
2015,CIENCIAS SOCIALES,3,220,94
2015,CIENCIAS SOCIALES,C,360,326
2015,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,1,1144,491
2015,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,2,621,190
2015,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,3,436,91
2015,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,C,544,263
2015,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,1,929,1064
2015,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,2,285,325
2015,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,3,147,131
2015,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,C,212,288
2015,INGENIERÍAS,1,1380,577
2015,INGENIERÍAS,2,396,136
2015,INGENIERÍAS,3,131,24
2015,INGENIERÍAS,C,487,235
2015,MEDICINA Y CIENCIAS DE LA SALUD,1,678,869
2015,MEDICINA Y CIENCIAS DE LA SALUD,2,201,188
2015,MEDICINA Y CIENCIAS DE LA SALUD,3,153,64
2015,MEDICINA Y CIENCIAS DE LA SALUD,C,166,192
2016,BIOLOGÍA Y QUÍMICA,1,1122,1019
2016,BIOLOGÍA Y QUÍMICA,2,407,271
2016,BIOLOGÍA Y QUÍMICA,3,244,120
2016,BIOLOGÍA Y QUÍMICA,C,426,475
2016,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,931,623
2016,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,2,283,144
2016,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,3,133,44
2016,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,C,337,347
2016,CIENCIAS SOCIALES,1,1213,958
2016,CIENCIAS SOCIALES,2,362,289
2016,CIENCIAS SOCIALES,3,232,102
2016,CIENCIAS SOCIALES,C,446,380
2016,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,1,1247,545
2016,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,2,640,197
2016,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,3,453,97
2016,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,C,542,273
2016,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,1,1054,1142
2016,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,2,293,335
2016,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,3,145,135
2016,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,C,284,363
2016,INGENIERÍAS,1,1512,644
2016,INGENIERÍAS,2,404,136
2016,INGENIERÍAS,3,130,25
2016,INGENIERÍAS,C,500,236
2016,MEDICINA Y CIENCIAS DE LA SALUD,1,749,949
2016,MEDICINA Y CIENCIAS DE LA SALUD,2,226,235
2016,MEDICINA Y CIENCIAS DE LA SALUD,3,167,69
2016,MEDICINA Y CIENCIAS DE LA SALUD,C,204,231
2017,BIOLOGÍA Y QUÍMICA,1,1173,1086
2017,BIOLOGÍA Y QUÍMICA,2,431,284
2017,BIOLOGÍA Y QUÍMICA,3,266,128
2017,BIOLOGÍA Y QUÍMICA,C,427,471
2017,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,1010,678
