NIVEL,AÑO,DESCONOCIDO,HOMBRE,MUJER
1,2015,0,7278,5497
1,2016,0,7828,5880
1,2017,0,8347,6315
1,2018,0,8533,6612
1,2019,0,8988,7000
1,2020,0,9572,7519
1,2021,0,10266,8085
1,2023,0,12702,10474
1,2024,0,12733,10749
1,2025,0,12633,10896
2,2015,0,2482,1482
2,2016,0,2615,1607
2,2017,0,2725,1727
2,2018,0,2771,1801
2,2019,0,2753,1825
2,2020,0,2877,1886
2,2021,0,3012,1956
2,2023,0,3406,2352
2,2024,0,3591,2542
2,2025,0,3938,2896
3,2015,0,1442,561
3,2016,0,1504,592
3,2017,0,1610,645
3,2018,0,1673,695
3,2019,0,1743,750
3,2020,0,1793,791
3,2021,0,1844,847
3,2023,0,1617,859
3,2024,0,1627,894
3,2025,0,1709,936
C,2015,1,2489,2084
C,2016,0,2739,2305
C,2017,0,3153,2664
C,2018,0,3438,3110
C,2019,0,3820,3669
C,2020,0,4440,4287
C,2021,0,4672,4496
C,2023,0,4582,4768
C,2024,0,5380,5745
C,2025,0,5274,5820
E,2023,0,428,179
E,2024,0,488,230
E,2025,0,526,261
