NIVEL,AÑO,HOMBRE,MUJER
1,2015,1188,898
1,2016,1213,958
1,2017,1234,1014
1,2018,1232,1067
1,2019,1285,1109
1,2020,1336,1159
1,2021,1464,1277
1,2023,2031,1884
1,2024,2067,1960
1,2025,2130,2086
2,2015,331,256
2,2016,362,289
2,2017,392,315
2,2018,420,339
2,2019,424,345
2,2020,430,354
2,2021,464,365
2,2023,513,431
2,2024,556,454
2,2025,600,498
3,2015,220,94
3,2016,232,102
3,2017,251,116
3,2018,261,129
3,2019,265,137
3,2020,272,143
3,2021,269,148
3,2023,220,146
3,2024,210,149
3,2025,218,151
C,2015,360,326
C,2016,446,380
C,2017,534,446
C,2018,614,549
C,2019,732,748
C,2020,873,917
C,2021,954,996
C,2023,1040,1155
C,2024,1233,1416
C,2025,1213,1503
E,2023,71,21
E,2024,77,35
E,2025,80,44
