NIVEL,AÑO,HOMBRE,MUJER
1,2015,1144,491
1,2016,1247,545
1,2017,1296,568
1,2018,1339,576
1,2019,1422,617
1,2020,1534,672
1,2021,1609,729
1,2023,1853,888
1,2024,1997,932
1,2025,1934,919
2,2015,621,190
2,2016,640,197
2,2017,662,205
2,2018,672,220
2,2019,674,225
2,2020,703,233
2,2021,724,232
2,2023,749,259
2,2024,827,310
2,2025,874,345
3,2015,436,91
3,2016,453,97
3,2017,480,103
3,2018,497,106
3,2019,518,118
3,2020,530,123
3,2021,539,131
3,2023,469,126
3,2024,485,135
3,2025,520,144
C,2015,544,263
C,2016,542,273
C,2017,608,322
C,2018,636,366
C,2019,702,432
C,2020,741,443
C,2021,743,446
C,2023,562,351
C,2024,627,408
C,2025,519,360
E,2023,91,25
E,2024,110,32
E,2025,118,38
